,post_id,comment_sentiment,comment_happy,comment_angry,comment_surprise,comment_sad,comment_fear,comment_number
111,012e3904d2105d64b9fd8395f9f93be6,-0.5574,0.0,0.0,0.5,0.5,0.0,3
112,01301a303cf34eac417c148a4cb74a23,0.6808,0.0,0.0,1.0,0.0,0.0,3
113,0130c5e263f8cc7c4b2cd488bb78b1bb,0.0,0.0,0.0,0.0,0.0,0.0,1
114,01310bb5853c64d1b4f47bfe51ad082a,0.6908,0.0,0.25,0.25,0.25,0.25,2
115,0132476701094da6b7b829bc51c1f451,0.2287,0.0,0.0,0.0,0.0,0.0,1
116,01338e107c20b9fb487e84f8939c68d8,0.0,0.0,0.0,0.0,0.0,0.0,1
117,0133f05a31c857647c79999a8fa688e4,-0.7351,0.0,0.0,0.0,0.0,1.0,3
118,01349f0388502e0d22b56024003f64f3,0.3612,0.0,0.0,0.0,0.0,0.0,1
119,01350456cc7f51bdcfc75657dd0247ba,-0.5803,0.0,0.0,1.0,0.0,0.0,2
120,013747bebc243e9f39e583889ace7e3a,0.0,0.0,0.0,0.0,0.0,0.0,1
121,014150048cd52acfd64ab8459f7d5e6c,0.0,0.0,0.0,0.0,0.0,0.0,1
122,0143c7bc60ef610cbd64227ac2568be1,-0.1531,0.0,0.0,0.0,1.0,0.0,1
123,0144928dedd7be231a75a3ecf8abdff7,-0.6778,0.0,0.0,1.0,0.0,0.0,6
124,0146218eaca756cbbe763dd5ffd32bc7,-0.128,0.0,0.0,0.25,0.38,0.38,8
125,014655cdcd8411bfc136a5a01064aa33,0.0,1.0,0.0,0.0,0.0,0.0,1
126,01479e418eeff2322d33800a999bc27e,0.6369,1.0,0.0,0.0,0.0,0.0,1
127,014ec17a82beba1e315713d11565fb20,-0.4129,0.0,0.5,0.5,0.0,0.0,2
128,015256a06b43d7371f251df10b06b6d8,-0.6696,0.11,0.22,0.0,0.22,0.44,4
129,0153791948b926b3a7fc65243acbcd2e,0.0,0.0,0.0,1.0,0.0,0.0,2
130,0153e199cbbed29a21fc1a90e0ff9868,0.0,0.0,0.0,0.0,0.0,0.0,1
131,0155d690c0a68bfbbd2167ab24598c46,0.9398,0.06,0.0,0.22,0.33,0.39,11
132,01594cfc3c7897fc2063874ad2bbf3e7,0.8703,0.0,0.11,0.11,0.33,0.44,5
133,0159e09fd627a0d41758763230eb4d3d,0.3991,0.0,0.0,0.33,0.0,0.67,2
